question,correct_answers,question_type
221000 × 244 =,5.3924e+07;2.6962e+05,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{110000}{0.0035}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B110000%7D%7B0.0035%7D%3D?scale=1.5"" alt=""LaTeX: \frac{110000}{0.0035}="" data-equation-content=""\frac{110000}{0.0035}="" data-ignore-a11y-check=""""></mattext>",3.1429e+07;1.5714e+05,numerical_tolerance
55 × 19700 =,1.0835e+06;5417.5,numerical_tolerance
7.9 x 10<sup>8</sup> × 2.60 =,2.054e+09;1.027e+07,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{35}{0.712}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B35%7D%7B0.712%7D%3D?scale=1.5"" alt=""LaTeX: \frac{35}{0.712}="" data-equation-content=""\frac{35}{0.712}="" data-ignore-a11y-check=""""></mattext>",49.157;0.24579,numerical_tolerance
28 × 0.00548 =,0.15344;0.0007672,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{10.}{0.015}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B10.%7D%7B0.015%7D%3D?scale=1.5"" alt=""LaTeX: \frac{10.}{0.015}="" data-equation-content=""\frac{10.}{0.015}="" data-ignore-a11y-check=""""></mattext>",666.67;3.3333,numerical_tolerance
63000 × 13 =,8.19e+05;4095,numerical_tolerance
210000 × 0.0000012 =,0.252;0.00126,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.0000277}{0.00207}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.0000277%7D%7B0.00207%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.0000277}{0.00207}="" data-equation-content=""\frac{0.0000277}{0.00207}="" data-ignore-a11y-check=""""></mattext>",0.013382;6.6908e-05,numerical_tolerance
1.44 x 10<sup>-7</sup> × 1.0 x 10<sup>6</sup> =,0.144;0.00072,numerical_tolerance
3.2 x 10<sup>8</sup> × 2.32 x 10<sup>-8</sup> =,7.424;0.03712,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{1.2\times10^7}{0.0000197}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B1.2%5Ctimes10%5E7%7D%7B0.0000197%7D%3D?scale=1.5"" alt=""LaTeX: \frac{1.2\times10^7}{0.0000197}="" data-equation-content=""\frac{1.2\times10^7}{0.0000197}="" data-ignore-a11y-check=""""></mattext>",6.0914e+11;3.0457e+09,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{8.8\times10^-9}{1.42\times10^-8}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B8.8%5Ctimes10%5E-9%7D%7B1.42%5Ctimes10%5E-8%7D%3D?scale=1.5"" alt=""LaTeX: \frac{8.8\times10^-9}{1.42\times10^-8}="" data-equation-content=""\frac{8.8\times10^-9}{1.42\times10^-8}="" data-ignore-a11y-check=""""></mattext>",0.61972;0.0030986,numerical_tolerance
0.00000173 × 295000 =,0.51035;0.0025517,numerical_tolerance
215000 × 4.6 x 10<sup>-7</sup> =,0.0989;0.0004945,numerical_tolerance
0.14 × 6.3 x 10<sup>8</sup> =,8.82e+07;4.41e+05,numerical_tolerance
2.85 x 10<sup>7</sup> × 0.26 =,7.41e+06;37050,numerical_tolerance
1.31 x 10<sup>7</sup> × 1.4 =,1.834e+07;91700,numerical_tolerance
970 × 0.20 =,194;0.97,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.0311}{4.7\times10^-7}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.0311%7D%7B4.7%5Ctimes10%5E-7%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.0311}{4.7\times10^-7}="" data-equation-content=""\frac{0.0311}{4.7\times10^-7}="" data-ignore-a11y-check=""""></mattext>",66170;330.85,numerical_tolerance
1.3 x 10<sup>7</sup> × 17 =,2.21e+08;1.105e+06,numerical_tolerance
6040 × 0.0022 =,13.288;0.06644,numerical_tolerance
33000 × 0.13 =,4290;21.45,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.0971}{0.000199}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.0971%7D%7B0.000199%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.0971}{0.000199}="" data-equation-content=""\frac{0.0971}{0.000199}="" data-ignore-a11y-check=""""></mattext>",487.94;2.4397,numerical_tolerance
0.403 × 86 =,34.658;0.17329,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{2.4\times10^7}{0.63}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B2.4%5Ctimes10%5E7%7D%7B0.63%7D%3D?scale=1.5"" alt=""LaTeX: \frac{2.4\times10^7}{0.63}="" data-equation-content=""\frac{2.4\times10^7}{0.63}="" data-ignore-a11y-check=""""></mattext>",3.8095e+07;1.9048e+05,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.099}{4.08}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.099%7D%7B4.08%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.099}{4.08}="" data-equation-content=""\frac{0.099}{4.08}="" data-ignore-a11y-check=""""></mattext>",0.024265;0.00012132,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{2.77}{2.03\times10^-7}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B2.77%7D%7B2.03%5Ctimes10%5E-7%7D%3D?scale=1.5"" alt=""LaTeX: \frac{2.77}{2.03\times10^-7}="" data-equation-content=""\frac{2.77}{2.03\times10^-7}="" data-ignore-a11y-check=""""></mattext>",1.3645e+07;68227,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{2.13\times10^8}{7920}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B2.13%5Ctimes10%5E8%7D%7B7920%7D%3D?scale=1.5"" alt=""LaTeX: \frac{2.13\times10^8}{7920}="" data-equation-content=""\frac{2.13\times10^8}{7920}="" data-ignore-a11y-check=""""></mattext>",26894;134.47,numerical_tolerance
5220 × 434 =,2.2655e+06;11327,numerical_tolerance
0.0319 × 16.9 =,0.53911;0.0026955,numerical_tolerance
32600 × 0.00050 =,16.3;0.0815,numerical_tolerance
38.4 × 0.0011 =,0.04224;0.0002112,numerical_tolerance
326 × 560000 =,1.8256e+08;9.128e+05,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{1.7\times10^-8}{1.6\times10^-8}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B1.7%5Ctimes10%5E-8%7D%7B1.6%5Ctimes10%5E-8%7D%3D?scale=1.5"" alt=""LaTeX: \frac{1.7\times10^-8}{1.6\times10^-8}="" data-equation-content=""\frac{1.7\times10^-8}{1.6\times10^-8}="" data-ignore-a11y-check=""""></mattext>",1.0625;0.0053125,numerical_tolerance
0.0083 × 923 =,7.6609;0.038304,numerical_tolerance
0.000058 × 530 =,0.03074;0.0001537,numerical_tolerance
5.70 x 10<sup>5</sup> × 0.00849 =,4839.3;24.196,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{5710}{0.00000127}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B5710%7D%7B0.00000127%7D%3D?scale=1.5"" alt=""LaTeX: \frac{5710}{0.00000127}="" data-equation-content=""\frac{5710}{0.00000127}="" data-ignore-a11y-check=""""></mattext>",4.4961e+09;2.248e+07,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{14}{5.04\times10^-9}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B14%7D%7B5.04%5Ctimes10%5E-9%7D%3D?scale=1.5"" alt=""LaTeX: \frac{14}{5.04\times10^-9}="" data-equation-content=""\frac{14}{5.04\times10^-9}="" data-ignore-a11y-check=""""></mattext>",2.7778e+09;1.3889e+07,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.00010}{0.0025}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.00010%7D%7B0.0025%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.00010}{0.0025}="" data-equation-content=""\frac{0.00010}{0.0025}="" data-ignore-a11y-check=""""></mattext>",0.04;0.0002,numerical_tolerance
98600 × 0.0000591 =,5.8273;0.029136,numerical_tolerance
220 × 130000 =,2.86e+07;1.43e+05,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{13000}{2400}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B13000%7D%7B2400%7D%3D?scale=1.5"" alt=""LaTeX: \frac{13000}{2400}="" data-equation-content=""\frac{13000}{2400}="" data-ignore-a11y-check=""""></mattext>",5.4167;0.027083,numerical_tolerance
378 × 390. =,1.4742e+05;737.1,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{8.0\times10^8}{1.56\times10^8}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B8.0%5Ctimes10%5E8%7D%7B1.56%5Ctimes10%5E8%7D%3D?scale=1.5"" alt=""LaTeX: \frac{8.0\times10^8}{1.56\times10^8}="" data-equation-content=""\frac{8.0\times10^8}{1.56\times10^8}="" data-ignore-a11y-check=""""></mattext>",5.1282;0.025641,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{5.01}{3.0\times10^-8}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B5.01%7D%7B3.0%5Ctimes10%5E-8%7D%3D?scale=1.5"" alt=""LaTeX: \frac{5.01}{3.0\times10^-8}="" data-equation-content=""\frac{5.01}{3.0\times10^-8}="" data-ignore-a11y-check=""""></mattext>",1.67e+08;8.35e+05,numerical_tolerance
0.0000087 × 1.6 x 10<sup>6</sup> =,13.92;0.0696,numerical_tolerance
2.34 x 10<sup>7</sup> × 72.5 =,1.6965e+09;8.4825e+06,numerical_tolerance
5.4 x 10<sup>-7</sup> × 5.4 x 10<sup>8</sup> =,291.6;1.458,numerical_tolerance
0.0000346 × 2540 =,0.087884;0.00043942,numerical_tolerance
0.000015 × 8.47 x 10<sup>6</sup> =,127.05;0.63525,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{7.20\times10^8}{0.0381}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B7.20%5Ctimes10%5E8%7D%7B0.0381%7D%3D?scale=1.5"" alt=""LaTeX: \frac{7.20\times10^8}{0.0381}="" data-equation-content=""\frac{7.20\times10^8}{0.0381}="" data-ignore-a11y-check=""""></mattext>",1.8898e+10;9.4488e+07,numerical_tolerance
2300 × 0.00000698 =,0.016054;8.027e-05,numerical_tolerance
33000 × 8.19 x 10<sup>6</sup> =,2.7027e+11;1.3514e+09,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{6180}{0.0063}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B6180%7D%7B0.0063%7D%3D?scale=1.5"" alt=""LaTeX: \frac{6180}{0.0063}="" data-equation-content=""\frac{6180}{0.0063}="" data-ignore-a11y-check=""""></mattext>",9.8095e+05;4904.8,numerical_tolerance
3.0 x 10<sup>7</sup> × 0.15 =,4.5e+06;22500,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{77800}{5.34\times10^-7}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B77800%7D%7B5.34%5Ctimes10%5E-7%7D%3D?scale=1.5"" alt=""LaTeX: \frac{77800}{5.34\times10^-7}="" data-equation-content=""\frac{77800}{5.34\times10^-7}="" data-ignore-a11y-check=""""></mattext>",1.4569e+11;7.2846e+08,numerical_tolerance
0.0000048 × 7.18 x 10<sup>8</sup> =,3446.4;17.232,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{3.39\times10^-9}{2.4\times10^-8}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B3.39%5Ctimes10%5E-9%7D%7B2.4%5Ctimes10%5E-8%7D%3D?scale=1.5"" alt=""LaTeX: \frac{3.39\times10^-9}{2.4\times10^-8}="" data-equation-content=""\frac{3.39\times10^-9}{2.4\times10^-8}="" data-ignore-a11y-check=""""></mattext>",0.14125;0.00070625,numerical_tolerance
1.44 x 10<sup>8</sup> × 469 =,6.7536e+10;3.3768e+08,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{9.0}{0.000166}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B9.0%7D%7B0.000166%7D%3D?scale=1.5"" alt=""LaTeX: \frac{9.0}{0.000166}="" data-equation-content=""\frac{9.0}{0.000166}="" data-ignore-a11y-check=""""></mattext>",54217;271.08,numerical_tolerance
798000 × 1.4 x 10<sup>7</sup> =,1.1172e+13;5.586e+10,numerical_tolerance
0.00000350 × 8800 =,0.0308;0.000154,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.00871}{9.66\times10^-8}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.00871%7D%7B9.66%5Ctimes10%5E-8%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.00871}{9.66\times10^-8}="" data-equation-content=""\frac{0.00871}{9.66\times10^-8}="" data-ignore-a11y-check=""""></mattext>",90166;450.83,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{2.5\times10^6}{0.00781}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B2.5%5Ctimes10%5E6%7D%7B0.00781%7D%3D?scale=1.5"" alt=""LaTeX: \frac{2.5\times10^6}{0.00781}="" data-equation-content=""\frac{2.5\times10^6}{0.00781}="" data-ignore-a11y-check=""""></mattext>",3.201e+08;1.6005e+06,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{54000}{54000}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B54000%7D%7B54000%7D%3D?scale=1.5"" alt=""LaTeX: \frac{54000}{54000}="" data-equation-content=""\frac{54000}{54000}="" data-ignore-a11y-check=""""></mattext>",1;0.005,numerical_tolerance
8.45 x 10<sup>-8</sup> × 2.07 x 10<sup>8</sup> =,17.491;0.087457,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{412000}{3.1}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B412000%7D%7B3.1%7D%3D?scale=1.5"" alt=""LaTeX: \frac{412000}{3.1}="" data-equation-content=""\frac{412000}{3.1}="" data-ignore-a11y-check=""""></mattext>",1.329e+05;664.52,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.014}{0.0011}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.014%7D%7B0.0011%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.014}{0.0011}="" data-equation-content=""\frac{0.014}{0.0011}="" data-ignore-a11y-check=""""></mattext>",12.727;0.063636,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.00570}{4.07\times10^-8}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.00570%7D%7B4.07%5Ctimes10%5E-8%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.00570}{4.07\times10^-8}="" data-equation-content=""\frac{0.00570}{4.07\times10^-8}="" data-ignore-a11y-check=""""></mattext>",1.4005e+05;700.25,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{3.0\times10^2}{4.87\times10^-9}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B3.0%5Ctimes10%5E2%7D%7B4.87%5Ctimes10%5E-9%7D%3D?scale=1.5"" alt=""LaTeX: \frac{3.0\times10^2}{4.87\times10^-9}="" data-equation-content=""\frac{3.0\times10^2}{4.87\times10^-9}="" data-ignore-a11y-check=""""></mattext>",6.1602e+10;3.0801e+08,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{67300}{0.00017}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B67300%7D%7B0.00017%7D%3D?scale=1.5"" alt=""LaTeX: \frac{67300}{0.00017}="" data-equation-content=""\frac{67300}{0.00017}="" data-ignore-a11y-check=""""></mattext>",3.9588e+08;1.9794e+06,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{5.5\times10^8}{480}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B5.5%5Ctimes10%5E8%7D%7B480%7D%3D?scale=1.5"" alt=""LaTeX: \frac{5.5\times10^8}{480}="" data-equation-content=""\frac{5.5\times10^8}{480}="" data-ignore-a11y-check=""""></mattext>",1.1458e+06;5729.2,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{32.7}{0.0000047}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B32.7%7D%7B0.0000047%7D%3D?scale=1.5"" alt=""LaTeX: \frac{32.7}{0.0000047}="" data-equation-content=""\frac{32.7}{0.0000047}="" data-ignore-a11y-check=""""></mattext>",6.9574e+06;34787,numerical_tolerance
2.2 x 10<sup>7</sup> × 414 =,9.108e+09;4.554e+07,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{210000}{35.2}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B210000%7D%7B35.2%7D%3D?scale=1.5"" alt=""LaTeX: \frac{210000}{35.2}="" data-equation-content=""\frac{210000}{35.2}="" data-ignore-a11y-check=""""></mattext>",5965.9;29.83,numerical_tolerance
0.00843 × 183000 =,1542.7;7.7135,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{11.9}{1.4}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B11.9%7D%7B1.4%7D%3D?scale=1.5"" alt=""LaTeX: \frac{11.9}{1.4}="" data-equation-content=""\frac{11.9}{1.4}="" data-ignore-a11y-check=""""></mattext>",8.5;0.0425,numerical_tolerance
0.00056 × 630 =,0.3528;0.001764,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.028}{0.0000433}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.028%7D%7B0.0000433%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.028}{0.0000433}="" data-equation-content=""\frac{0.028}{0.0000433}="" data-ignore-a11y-check=""""></mattext>",646.65;3.2333,numerical_tolerance
0.0000431 × 2010 =,0.086631;0.00043316,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{139}{7.5\times10^-8}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B139%7D%7B7.5%5Ctimes10%5E-8%7D%3D?scale=1.5"" alt=""LaTeX: \frac{139}{7.5\times10^-8}="" data-equation-content=""\frac{139}{7.5\times10^-8}="" data-ignore-a11y-check=""""></mattext>",1.8533e+09;9.2667e+06,numerical_tolerance
4.11 x 10<sup>7</sup> × 7.80 x 10<sup>-8</sup> =,3.2058;0.016029,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{7.5\times10^8}{7.85\times10^-9}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B7.5%5Ctimes10%5E8%7D%7B7.85%5Ctimes10%5E-9%7D%3D?scale=1.5"" alt=""LaTeX: \frac{7.5\times10^8}{7.85\times10^-9}="" data-equation-content=""\frac{7.5\times10^8}{7.85\times10^-9}="" data-ignore-a11y-check=""""></mattext>",9.5541e+16;4.7771e+14,numerical_tolerance
0.0168 × 2.71 x 10<sup>8</sup> =,4.5528e+06;22764,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{2.2\times10^7}{0.11}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B2.2%5Ctimes10%5E7%7D%7B0.11%7D%3D?scale=1.5"" alt=""LaTeX: \frac{2.2\times10^7}{0.11}="" data-equation-content=""\frac{2.2\times10^7}{0.11}="" data-ignore-a11y-check=""""></mattext>",2e+08;1e+06,numerical_tolerance
0.000641 × 1.49 x 10<sup>6</sup> =,955.09;4.7754,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{331000}{0.000023}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B331000%7D%7B0.000023%7D%3D?scale=1.5"" alt=""LaTeX: \frac{331000}{0.000023}="" data-equation-content=""\frac{331000}{0.000023}="" data-ignore-a11y-check=""""></mattext>",1.4391e+10;7.1957e+07,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.0000644}{0.0000167}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.0000644%7D%7B0.0000167%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.0000644}{0.0000167}="" data-equation-content=""\frac{0.0000644}{0.0000167}="" data-ignore-a11y-check=""""></mattext>",3.8563;0.019281,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{3.8}{0.026}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B3.8%7D%7B0.026%7D%3D?scale=1.5"" alt=""LaTeX: \frac{3.8}{0.026}="" data-equation-content=""\frac{3.8}{0.026}="" data-ignore-a11y-check=""""></mattext>",146.15;0.73077,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{6510}{0.0000252}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B6510%7D%7B0.0000252%7D%3D?scale=1.5"" alt=""LaTeX: \frac{6510}{0.0000252}="" data-equation-content=""\frac{6510}{0.0000252}="" data-ignore-a11y-check=""""></mattext>",2.5833e+08;1.2917e+06,numerical_tolerance
7.73 x 10<sup>8</sup> × 330000 =,2.5509e+14;1.2754e+12,numerical_tolerance
190000 × 1.7 x 10<sup>-7</sup> =,0.0323;0.0001615,numerical_tolerance
1.3 x 10<sup>7</sup> × 1900 =,2.47e+10;1.235e+08,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.00148}{0.0328}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.00148%7D%7B0.0328%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.00148}{0.0328}="" data-equation-content=""\frac{0.00148}{0.0328}="" data-ignore-a11y-check=""""></mattext>",0.045122;0.00022561,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{2.81\times10^6}{7100}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B2.81%5Ctimes10%5E6%7D%7B7100%7D%3D?scale=1.5"" alt=""LaTeX: \frac{2.81\times10^6}{7100}="" data-equation-content=""\frac{2.81\times10^6}{7100}="" data-ignore-a11y-check=""""></mattext>",395.77;1.9789,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{2.95\times10^-7}{0.0000046}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B2.95%5Ctimes10%5E-7%7D%7B0.0000046%7D%3D?scale=1.5"" alt=""LaTeX: \frac{2.95\times10^-7}{0.0000046}="" data-equation-content=""\frac{2.95\times10^-7}{0.0000046}="" data-ignore-a11y-check=""""></mattext>",0.06413;0.00032065,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{1.4\times10^6}{0.00000664}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B1.4%5Ctimes10%5E6%7D%7B0.00000664%7D%3D?scale=1.5"" alt=""LaTeX: \frac{1.4\times10^6}{0.00000664}="" data-equation-content=""\frac{1.4\times10^6}{0.00000664}="" data-ignore-a11y-check=""""></mattext>",2.1084e+11;1.0542e+09,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{6.8\times10^6}{0.0000610}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B6.8%5Ctimes10%5E6%7D%7B0.0000610%7D%3D?scale=1.5"" alt=""LaTeX: \frac{6.8\times10^6}{0.0000610}="" data-equation-content=""\frac{6.8\times10^6}{0.0000610}="" data-ignore-a11y-check=""""></mattext>",1.1148e+11;5.5738e+08,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.00030}{0.000203}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.00030%7D%7B0.000203%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.00030}{0.000203}="" data-equation-content=""\frac{0.00030}{0.000203}="" data-ignore-a11y-check=""""></mattext>",1.4778;0.0073892,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{6600}{0.168}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B6600%7D%7B0.168%7D%3D?scale=1.5"" alt=""LaTeX: \frac{6600}{0.168}="" data-equation-content=""\frac{6600}{0.168}="" data-ignore-a11y-check=""""></mattext>",39286;196.43,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.0190}{4.7\times10^-7}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.0190%7D%7B4.7%5Ctimes10%5E-7%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.0190}{4.7\times10^-7}="" data-equation-content=""\frac{0.0190}{4.7\times10^-7}="" data-ignore-a11y-check=""""></mattext>",40426;202.13,numerical_tolerance
6.0 x 10<sup>-8</sup> × 180000 =,0.0108;5.4e-05,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{8.91}{0.0000070}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B8.91%7D%7B0.0000070%7D%3D?scale=1.5"" alt=""LaTeX: \frac{8.91}{0.0000070}="" data-equation-content=""\frac{8.91}{0.0000070}="" data-ignore-a11y-check=""""></mattext>",1.2729e+06;6364.3,numerical_tolerance
2.2 x 10<sup>-7</sup> × 1.1 x 10<sup>7</sup> =,2.42;0.0121,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{0.107}{0.00202}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B0.107%7D%7B0.00202%7D%3D?scale=1.5"" alt=""LaTeX: \frac{0.107}{0.00202}="" data-equation-content=""\frac{0.107}{0.00202}="" data-ignore-a11y-check=""""></mattext>",52.97;0.26485,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{7.5\times10^7}{4.9}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B7.5%5Ctimes10%5E7%7D%7B4.9%7D%3D?scale=1.5"" alt=""LaTeX: \frac{7.5\times10^7}{4.9}="" data-equation-content=""\frac{7.5\times10^7}{4.9}="" data-ignore-a11y-check=""""></mattext>",1.5306e+07;76531,numerical_tolerance
1600 × 34000 =,5.44e+07;2.72e+05,numerical_tolerance
0.00000315 × 1.10 x 10<sup>8</sup> =,346.5;1.7325,numerical_tolerance
"<mattext texttype=""text/html""><img class=""equation_image"" title=""\frac{6100}{9700}="" src=""https://weber.instructure.com/equation_images/%5Cfrac%7B6100%7D%7B9700%7D%3D?scale=1.5"" alt=""LaTeX: \frac{6100}{9700}="" data-equation-content=""\frac{6100}{9700}="" data-ignore-a11y-check=""""></mattext>",0.62887;0.0031443,numerical_tolerance
2.2 x 10<sup>8</sup> × 1.5 x 10<sup>-8</sup> =,3.3;0.0165,numerical_tolerance
4550 × 0.000021 =,0.09555;0.00047775,numerical_tolerance
