#"+ EIC(78.0) Scan tube3HHW.D "
#Point,X(Minutes),Y(Counts)
1499,14.371,3129
1500,14.381,3166
1501,14.390,2769
1502,14.399,3065
1503,14.408,2835
1504,14.417,2852
1505,14.427,2899
1506,14.436,2765
1507,14.445,2662
1508,14.454,2953
1509,14.463,2769
1510,14.473,2829
1511,14.482,3083
1512,14.491,2804
1513,14.500,2838
1514,14.509,2529
1515,14.519,2908
1516,14.528,2923
1517,14.537,2778
1518,14.546,2647
1519,14.555,2589
1520,14.564,2481
1521,14.574,2923
1522,14.583,2977
1523,14.592,2487
1524,14.601,2780
1525,14.610,2654
1526,14.620,2629
1527,14.629,3040
1528,14.638,2776
1529,14.647,2953
1530,14.656,2845
1531,14.666,2821
1532,14.675,2799
1533,14.684,2703
1534,14.693,2907
1535,14.702,2858
1536,14.711,2814
1537,14.721,2541
1538,14.730,2872
1539,14.739,2952
1540,14.748,2899
1541,14.757,2993
1542,14.767,2690
1543,14.776,2934
1544,14.785,2992
1545,14.794,2692
1546,14.803,3044
1547,14.813,2860
1548,14.822,2839
1549,14.831,2933
1550,14.840,2707
1551,14.849,3209
1552,14.859,3239
1553,14.868,3002
1554,14.877,3063
1555,14.886,3045
1556,14.895,3139
1557,14.904,3057
1558,14.914,3065
1559,14.923,3018
1560,14.932,3075
1561,14.941,2770
1562,14.950,2837
1563,14.960,3054
1564,14.969,2843
1565,14.978,3065
1566,14.987,3145
1567,14.996,2911
1568,15.006,3395
1569,15.015,3162
1570,15.024,2991
1571,15.033,3167
1572,15.042,3216
1573,15.052,2989
1574,15.061,3300
1575,15.070,3036
1576,15.079,3076
1577,15.088,3154
1578,15.097,3132
1579,15.107,3262
1580,15.116,3140
1581,15.125,2902
1582,15.134,3300
1583,15.143,3134
1584,15.153,3038
1585,15.162,3186
1586,15.171,3445
1587,15.180,3473
1588,15.189,2863
1589,15.199,3160
1590,15.208,3238
1591,15.217,3163
1592,15.226,3115
1593,15.235,3299
1594,15.244,3369
1595,15.254,3307
1596,15.263,3247
1597,15.272,3163
1598,15.281,3138
1599,15.290,3397
1600,15.300,3614
1601,15.309,3269
1602,15.318,3498
1603,15.327,3313
1604,15.336,3349
1605,15.346,3463
1606,15.355,3601
1607,15.364,3450
1608,15.373,3978
1609,15.382,3729
1610,15.392,3708
1611,15.401,3749
1612,15.410,4077
1613,15.419,3946
1614,15.428,4038
1615,15.437,3848
1616,15.447,4218
1617,15.456,3814
1618,15.465,4370
1619,15.474,4104
1620,15.483,4096
1621,15.493,4471
1622,15.502,4328
1623,15.511,4357
1624,15.520,4344
1625,15.529,4259
1626,15.539,4352
1627,15.548,4630
1628,15.557,4319
1629,15.566,4275
1630,15.575,4329
1631,15.585,4352
1632,15.594,4273
1633,15.603,4508
1634,15.612,4213
1635,15.621,4199
1636,15.630,4167
1637,15.640,3973
1638,15.649,4038
1639,15.658,4098
1640,15.667,3867
1641,15.676,3794
1642,15.686,3522
1643,15.695,3654
1644,15.704,3595
1645,15.713,3599
1646,15.722,3676
1647,15.732,3858
1648,15.741,3596
1649,15.750,4002
1650,15.759,3494
1651,15.768,3327
1652,15.777,3605
1653,15.787,3809
1654,15.796,3828
1655,15.805,3846
1656,15.814,4486
1657,15.823,4565
1658,15.833,4381
1659,15.842,5001
1660,15.851,5272
1661,15.860,5290
1662,15.869,5862
1663,15.879,6363
1664,15.888,6055
1665,15.897,6544
1666,15.906,6877
1667,15.915,6976
1668,15.925,7937
1669,15.934,8128
1670,15.943,8307
1671,15.952,9258
1672,15.961,9516
1673,15.970,10577
1674,15.980,11439
1675,15.989,12004
1676,15.998,12599
1677,16.007,13582
1678,16.016,14494
1679,16.026,15408
1680,16.035,16760
1681,16.044,18416
1682,16.053,19216
1683,16.062,21848
1684,16.072,22184
1685,16.081,23792
1686,16.090,27048
1687,16.099,29288
1688,16.108,32008
1689,16.118,36312
1690,16.127,38896
1691,16.136,42624
1692,16.145,47184
1693,16.154,53248
1694,16.163,58736
1695,16.173,65440
1696,16.182,73240
1697,16.191,80320
1698,16.200,88816
1699,16.209,99296
1700,16.219,108520
1701,16.228,120504
1702,16.237,128632
1703,16.246,142720
1704,16.255,150016
1705,16.265,160768
1706,16.274,168576
1707,16.283,177472
1708,16.292,185216
1709,16.301,190784
1710,16.310,198208
1711,16.320,199488
1712,16.329,204032
1713,16.338,209664
1714,16.347,203456
1715,16.356,205056
1716,16.366,206080
1717,16.375,200384
1718,16.384,197952
1719,16.393,192960
1720,16.402,189056
1721,16.412,184640
1722,16.421,181504
1723,16.430,177984
1724,16.439,173760
1725,16.448,169664
1726,16.458,163264
1727,16.467,157824
1728,16.476,152000
1729,16.485,147904
1730,16.494,142912
1731,16.503,139264
1732,16.513,133952
1733,16.522,130040
1734,16.531,124000
1735,16.540,120352
1736,16.549,117840
1737,16.559,112616
1738,16.568,107784
1739,16.577,105096
1740,16.586,101784
1741,16.595,96056
1742,16.605,95600
1743,16.614,91784
1744,16.623,88040
1745,16.632,87224
1746,16.641,82352
1747,16.651,78648
1748,16.660,77736
1749,16.669,75872
1750,16.678,73784
1751,16.687,69696
1752,16.696,67976
1753,16.706,66744
1754,16.715,63464
1755,16.724,61088
1756,16.733,59456
1757,16.742,58208
1758,16.752,54808
1759,16.761,54704
1760,16.770,52056
1761,16.779,51752
1762,16.788,49600
1763,16.798,46552
1764,16.807,47336
1765,16.816,44752
1766,16.825,44304
1767,16.834,44152
1768,16.843,41928
1769,16.853,41040
1770,16.862,40504
1771,16.871,38848
1772,16.880,37368
1773,16.889,37272
1774,16.899,37168
1775,16.908,35600
1776,16.917,34168
1777,16.926,33576
1778,16.935,32208
1779,16.945,31128
1780,16.954,30472
1781,16.963,29032
1782,16.972,29480
1783,16.981,28120
1784,16.991,28072
1785,17.000,27488
1786,17.009,26440
1787,17.018,26736
1788,17.027,26088
1789,17.036,24792
1790,17.046,24400
1791,17.055,23544
1792,17.064,23600
1793,17.073,22792
1794,17.082,22192
1795,17.092,22160
1796,17.101,21904
1797,17.110,21344
1798,17.119,20808
1799,17.128,20112
1800,17.138,20584
1801,17.147,19576
1802,17.156,19168
1803,17.165,18704
1804,17.174,18264
1805,17.184,17696
1806,17.193,18320
1807,17.202,17616
1808,17.211,17352
1809,17.220,16760
1810,17.229,16488
1811,17.239,15800
1812,17.248,16211
1813,17.257,15487
1814,17.266,16163
1815,17.275,15354
1816,17.285,15096
1817,17.294,15030
1818,17.303,14228
1819,17.312,14359
1820,17.321,14479
1821,17.331,14213
1822,17.340,14133
1823,17.349,12703
1824,17.358,14122
1825,17.367,13449
1826,17.377,12654
1827,17.386,12388
1828,17.395,12314
1829,17.404,11938
1830,17.413,12358
1831,17.422,11919
1832,17.432,12067
1833,17.441,11643
1834,17.450,11501
1835,17.459,11268
1836,17.468,11340
1837,17.478,11404
1838,17.487,11478
1839,17.496,10891
1840,17.505,11271
1841,17.514,10636
1842,17.524,10355
1843,17.533,10299
1844,17.542,9956
1845,17.551,9909
1846,17.560,9576
1847,17.569,9778
1848,17.579,9750
1849,17.588,9452
1850,17.597,9451
1851,17.606,9630
1852,17.615,9228
1853,17.625,9567
1854,17.634,9782
1855,17.643,9303
1856,17.652,8983
1857,17.661,9268
1858,17.671,9137
1859,17.680,9517
1860,17.689,9195
1861,17.698,9108
1862,17.707,8676
1863,17.717,8987
1864,17.726,8844
1865,17.735,8320
1866,17.744,8986
1867,17.753,8697
1868,17.762,8388
1869,17.772,8775
1870,17.781,8746
1871,17.790,8492
1872,17.799,8027
1873,17.808,8781
1874,17.818,8380
1875,17.827,8375
1876,17.836,8029
1877,17.845,8601
1878,17.854,8088
1879,17.864,8115
1880,17.873,8085
1881,17.882,8151
1882,17.891,7616
1883,17.900,8409
1884,17.910,7269
1885,17.919,7892
1886,17.928,7459
1887,17.937,7668
1888,17.946,7628
1889,17.955,7463
1890,17.965,7284
1891,17.974,7540
1892,17.983,7675
1893,17.992,7679
1894,18.001,7599
1895,18.011,7883
1896,18.020,6999
1897,18.029,7057
1898,18.038,7377
1899,18.047,7567
1900,18.057,7131
1901,18.066,7178
1902,18.075,6956
1903,18.084,7169
1904,18.093,7355
1905,18.102,7300
1906,18.112,7630
1907,18.121,7261
1908,18.130,7102
1909,18.139,7076
1910,18.148,7527
1911,18.158,7349
1912,18.167,7342
1913,18.176,7388
1914,18.185,7448
1915,18.194,7173
1916,18.204,7316
1917,18.213,7366
1918,18.222,8142
1919,18.231,7846
1920,18.240,7307
1921,18.250,7215
1922,18.259,7471
1923,18.268,7344
1924,18.277,8109
1925,18.286,6709
1926,18.295,7654
1927,18.305,6974
1928,18.314,7291
1929,18.323,7509
1930,18.332,7106
1931,18.341,7691
1932,18.351,7410
1933,18.360,8526
1934,18.369,7494
1935,18.378,8138
1936,18.387,8080
1937,18.397,7857
1938,18.406,7795
1939,18.415,8405
1940,18.424,8086
1941,18.433,8326
1942,18.443,8377
1943,18.452,8468
1944,18.461,8594
1945,18.470,8700
1946,18.479,8820
1947,18.488,8778
1948,18.498,8765
1949,18.507,8626
1950,18.516,8829
1951,18.525,8585
1952,18.534,9063
1953,18.544,8881
1954,18.553,9151
1955,18.562,9040
1956,18.571,9191
1957,18.580,9789
1958,18.590,10003
1959,18.599,10557
1960,18.608,10544
1961,18.617,10643
1962,18.626,10913
1963,18.635,11435
1964,18.645,11445
1965,18.654,12578
1966,18.663,11573
1967,18.672,11485
1968,18.681,11021
1969,18.691,11138
1970,18.700,10443
1971,18.709,10406
1972,18.718,10732
1973,18.727,10579
1974,18.737,9655
1975,18.746,10208
1976,18.755,10194
1977,18.764,10425
1978,18.773,9556
1979,18.783,9527
1980,18.792,9924
1981,18.801,9251
1982,18.810,9375
1983,18.819,8958
1984,18.828,9456
1985,18.838,9087
1986,18.847,8731
1987,18.856,8618
1988,18.865,8485
1989,18.874,8400
1990,18.884,8999
1991,18.893,8809
1992,18.902,8503
1993,18.911,8344
1994,18.920,8796
1995,18.930,8498
1996,18.939,8778
1997,18.948,8686
1998,18.957,8365
1999,18.966,8139
2000,18.976,8453
2001,18.985,8390
2002,18.994,8593
2003,19.003,8858
2004,19.012,8167
2005,19.021,8586
2006,19.031,9167
2007,19.040,8292
2008,19.049,8075
2009,19.058,8503
2010,19.067,8214
2011,19.077,8344
2012,19.086,8592
2013,19.095,8314
2014,19.104,8042
2015,19.113,8281
2016,19.123,8151
2017,19.132,8245
2018,19.141,8182
2019,19.150,7879
2020,19.159,7741
2021,19.168,8012
2022,19.178,7799
2023,19.187,7890
2024,19.196,8135
2025,19.205,7684
2026,19.214,7463
2027,19.224,7692
2028,19.233,7993
2029,19.242,8571
2030,19.251,7832
2031,19.260,8151
2032,19.270,8496
2033,19.279,7951
2034,19.288,7432
2035,19.297,8015
2036,19.306,7770
2037,19.316,8017
2038,19.325,7814
2039,19.334,8223
2040,19.343,7656
2041,19.352,8227
2042,19.361,7638
2043,19.371,8331
2044,19.380,7824
2045,19.389,7925
2046,19.398,8187
2047,19.407,7915
2048,19.417,7627
2049,19.426,7983
2050,19.435,7810
2051,19.444,7766
2052,19.453,7792
2053,19.463,7888
2054,19.472,7588
2055,19.481,7779
2056,19.490,8373
2057,19.499,7964
2058,19.509,7787
2059,19.518,7881
2060,19.527,7539
2061,19.536,7738
2062,19.545,8245
2063,19.554,8283
2064,19.564,8269
2065,19.573,7917
2066,19.582,8222
2067,19.591,8048
2068,19.600,8148
2069,19.610,8050
2070,19.619,8502
2071,19.628,8326
2072,19.637,8459
2073,19.646,8326
2074,19.656,8469
2075,19.665,8790
2076,19.674,8686
2077,19.683,8448
2078,19.692,8778
2079,19.701,8863
2080,19.711,8972
2081,19.720,9021
2082,19.729,9723
2083,19.738,9044
2084,19.747,9366
2085,19.757,9186
2086,19.766,9380
2087,19.775,9214
2088,19.784,9462
2089,19.793,9297
2090,19.803,9235
2091,19.812,9535
2092,19.821,9209
2093,19.830,9827
2094,19.839,9663
2095,19.849,9993
2096,19.858,9875
2097,19.867,9442
2098,19.876,9095
2099,19.885,9271
2100,19.894,9651
2101,19.904,9654
2102,19.913,9363
2103,19.922,9724
2104,19.931,9262
2105,19.940,9441
2106,19.950,9695
2107,19.959,9352
2108,19.968,9567
2109,19.977,10051
2110,19.986,10026
2111,19.996,10114
2112,20.005,9593
2113,20.014,9407
2114,20.023,10134
2115,20.032,10241
2116,20.042,9809
2117,20.051,9961
2118,20.060,9729
2119,20.069,9716
2120,20.078,10280
2121,20.087,9771
2122,20.097,10194
2123,20.106,9862
2124,20.115,10015
2125,20.124,9885
2126,20.133,9868
2127,20.143,10445
2128,20.152,9494
2129,20.161,9332
2130,20.170,9927
2131,20.179,9879
2132,20.189,9787
2133,20.198,9627
2134,20.207,9825
2135,20.216,9633
2136,20.225,9389
2137,20.234,9533
2138,20.244,9510
2139,20.253,9696
2140,20.262,9187
2141,20.271,9696
2142,20.280,10286
2143,20.290,10046
2144,20.299,10080
2145,20.308,9727
2146,20.317,10030
2147,20.326,10227
2148,20.336,10380
2149,20.345,9774
2150,20.354,10472
2151,20.363,10550
2152,20.372,9878
2153,20.382,9789
2154,20.391,9433
2155,20.400,9582
2156,20.409,9700
2157,20.418,10358
2158,20.427,9777
2159,20.437,9926
2160,20.446,10494
2161,20.455,10585
2162,20.464,10826
2163,20.473,11021
2164,20.483,11243
2165,20.492,11565
2166,20.501,11924
2167,20.510,11782
2168,20.519,12709
2169,20.529,12167
2170,20.538,12369
2171,20.547,12676
2172,20.556,12348
2173,20.565,13586
2174,20.575,14589
2175,20.584,18640
2176,20.593,24560
2177,20.602,35160
2178,20.611,47048
2179,20.620,62856
2180,20.630,79720
2181,20.639,93384
2182,20.648,102136
2183,20.657,106104
2184,20.666,101424
2185,20.676,95856
2186,20.685,87072
2187,20.694,78832
2188,20.703,75016
2189,20.712,72880
2190,20.722,78976
2191,20.731,97176
2192,20.740,128064
2193,20.749,167296
2194,20.758,218944
2195,20.768,270208
2196,20.777,301952
2197,20.786,327040
2198,20.795,321280
2199,20.804,307072
2200,20.813,280512
2201,20.823,249856
2202,20.832,218304
2203,20.841,192320
2204,20.850,168448
2205,20.859,149120
2206,20.869,130800
2207,20.878,121712
2208,20.887,107296
2209,20.896,98320
2210,20.905,89360
2211,20.915,83448
2212,20.924,75672
2213,20.933,69784
2214,20.942,67672
2215,20.951,62000
2216,20.960,57792
2217,20.970,56056
2218,20.979,51688
2219,20.988,48760
2220,20.997,45400
2221,21.006,43672
2222,21.016,43104
2223,21.025,41584
2224,21.034,39760
2225,21.043,36936
2226,21.052,36392
2227,21.062,35024
2228,21.071,33920
2229,21.080,33712
2230,21.089,32048
2231,21.098,32000
2232,21.108,29888
2233,21.117,29096
2234,21.126,29560
2235,21.135,27264
2236,21.144,26784
2237,21.153,26896
2238,21.163,26816
2239,21.172,25992
2240,21.181,25736
2241,21.190,25632
2242,21.199,25352
2243,21.209,24856
2244,21.218,25096
2245,21.227,24256
2246,21.236,24488
2247,21.245,24248
2248,21.255,24184
2249,21.264,23920
2250,21.273,23592
2251,21.282,23736
2252,21.291,22600
2253,21.301,22640
2254,21.310,22456
2255,21.319,23608
2256,21.328,24808
2257,21.337,28080
2258,21.346,34224
2259,21.356,47408
2260,21.365,66536
2261,21.374,92744
2262,21.383,121368
2263,21.392,146688
2264,21.402,167424
2265,21.411,171392
2266,21.420,169408
2267,21.429,157760
2268,21.438,138560
2269,21.448,124168
2270,21.457,109936
2271,21.466,96680
2272,21.475,86872
2273,21.484,76544
2274,21.493,68816
2275,21.503,63280
2276,21.512,58424
2277,21.521,53648
2278,21.530,51656
2279,21.539,47040
2280,21.549,45720
2281,21.558,42216
2282,21.567,41568
2283,21.576,38568
2284,21.585,38192
2285,21.595,35936
2286,21.604,35208
2287,21.613,34536
2288,21.622,32464
2289,21.631,32160
2290,21.641,32616
2291,21.650,30728
2292,21.659,31072
2293,21.668,29752
2294,21.677,29624
2295,21.686,29392
2296,21.696,28144
2297,21.705,28224
2298,21.714,27616
2299,21.723,28136
2300,21.732,26864
2301,21.742,26128
2302,21.751,25704
2303,21.760,25536
2304,21.769,25040
2305,21.778,25664
2306,21.788,24440
2307,21.797,25064
2308,21.806,25624
2309,21.815,26056
2310,21.824,26040
2311,21.834,28336
2312,21.843,30920
2313,21.852,33048
2314,21.861,34576
2315,21.870,36008
2316,21.879,35928
2317,21.889,36240
2318,21.898,34112
2319,21.907,33192
2320,21.916,31544
2321,21.925,29400
2322,21.935,27952
2323,21.944,27560
2324,21.953,25976
2325,21.962,24936
2326,21.971,25080
2327,21.981,24224
2328,21.990,24184
2329,21.999,23240
2330,22.008,23272
2331,22.017,23120
2332,22.026,23320
2333,22.036,23104
2334,22.045,22376
2335,22.054,22616
2336,22.063,21808
2337,22.072,21336
2338,22.082,21776
2339,22.091,21824
2340,22.100,21008
2341,22.109,21136
2342,22.118,21000
2343,22.128,20496
2344,22.137,20504
2345,22.146,20320
2346,22.155,19872
2347,22.164,20088
2348,22.174,19720
2349,22.183,20840
2350,22.192,20696
2351,22.201,20672
2352,22.210,20640
2353,22.219,20216
2354,22.229,20560
2355,22.238,20752
2356,22.247,19616
2357,22.256,20752
2358,22.265,21248
2359,22.275,21096
2360,22.284,20760
2361,22.293,20528
2362,22.302,21200
2363,22.311,20744
2364,22.321,20888
2365,22.330,20696
2366,22.339,21664
2367,22.348,20496
2368,22.357,20736
2369,22.367,21088
2370,22.376,19936
2371,22.385,19128
2372,22.394,19176
2373,22.403,18872
2374,22.412,19152
2375,22.422,24000
2376,22.431,30648
2377,22.440,41512
2378,22.449,55808
2379,22.458,68232
2380,22.468,79424
2381,22.477,80208
2382,22.486,75416
2383,22.495,71640
2384,22.504,65664
2385,22.514,66632
2386,22.523,77528
2387,22.532,95528
2388,22.541,117640
2389,22.550,138112
2390,22.559,152320
2391,22.569,155328
2392,22.578,150528
2393,22.587,148416
2394,22.596,139584
2395,22.605,135040
2396,22.615,127736
2397,22.624,118600
2398,22.633,112248
2399,22.642,111288
2400,22.651,114072
2401,22.661,116208
2402,22.670,113728
2403,22.679,112968
2404,22.688,104112
2405,22.697,93584
2406,22.707,82280
2407,22.716,73608
2408,22.725,64920
2409,22.734,59400
2410,22.743,54224
2411,22.752,50672
2412,22.762,47504
2413,22.771,46240
2414,22.780,43112
2415,22.789,42512
2416,22.798,40400
2417,22.808,38648
2418,22.817,36992
2419,22.826,36336
2420,22.835,35104
2421,22.844,33352
2422,22.854,31784
2423,22.863,31376
2424,22.872,31144
2425,22.881,31520
2426,22.890,32664
2427,22.900,31272
2428,22.909,30784
2429,22.918,30616
2430,22.927,30184
2431,22.936,30480
2432,22.945,28792
2433,22.955,29576
2434,22.964,29608
2435,22.973,28856
2436,22.982,29592
2437,22.991,30184
2438,23.001,33160
2439,23.010,36528
2440,23.019,44664
2441,23.028,52864
2442,23.037,60296
2443,23.047,64832
2444,23.056,67224
2445,23.065,64752
2446,23.074,58544
2447,23.083,53224
2448,23.092,48952
2449,23.102,42992
2450,23.111,40248
2451,23.120,36944
2452,23.129,34760
2453,23.138,34016
2454,23.148,32304
2455,23.157,33336
2456,23.166,31440
2457,23.175,31376
2458,23.184,30336
2459,23.194,30864
2460,23.203,31048
2461,23.212,34552
2462,23.221,42400
2463,23.230,56024
2464,23.240,80696
2465,23.249,117272
2466,23.258,152832
2467,23.267,183744
2468,23.276,199424
2469,23.285,199040
2470,23.295,183360
2471,23.304,155648
2472,23.313,130728
2473,23.322,110592
2474,23.331,91544
2475,23.341,79632
2476,23.350,70008
2477,23.359,63688
2478,23.368,58592
2479,23.377,54728
2480,23.387,52008
2481,23.396,49376
2482,23.405,47624
2483,23.414,48792
2484,23.423,51192
2485,23.433,57536
2486,23.442,65456
2487,23.451,76784
2488,23.460,86664
2489,23.469,94800
2490,23.478,95200
2491,23.488,90392
2492,23.497,84984
2493,23.506,78608
2494,23.515,73104
2495,23.524,67616
2496,23.534,64768
2497,23.543,60664
2498,23.552,57872
2499,23.561,57480
2500,23.570,55304
2501,23.580,56216
2502,23.589,56664
2503,23.598,55440
2504,23.607,55600
2505,23.616,52328
2506,23.625,51168
2507,23.635,50384
2508,23.644,47528
2509,23.653,48464
2510,23.662,46296
2511,23.671,46200
2512,23.681,46256
2513,23.690,43760
2514,23.699,44088
2515,23.708,41968
2516,23.717,40168
2517,23.727,39488
2518,23.736,39072
2519,23.745,38832
2520,23.754,38192
2521,23.763,39416
2522,23.773,37352
2523,23.782,38176
2524,23.791,37536
2525,23.800,36128
2526,23.809,36064
2527,23.818,36192
2528,23.828,37144
2529,23.837,37024
2530,23.846,35224
2531,23.855,34432
2532,23.864,35232
2533,23.874,34504
2534,23.883,34568
2535,23.892,34416
2536,23.901,34760
2537,23.910,35336
2538,23.920,38504
2539,23.929,44728
2540,23.938,52248
2541,23.947,62664
2542,23.956,71056
2543,23.966,78136
2544,23.975,80040
2545,23.984,76920
2546,23.993,70176
2547,24.002,61848
2548,24.011,57128
2549,24.021,51792
2550,24.030,47296
2551,24.039,45152
2552,24.048,43672
2553,24.057,42280
2554,24.067,42216
2555,24.076,42312
2556,24.085,43256
2557,24.094,47504
2558,24.103,50536
2559,24.113,53888
2560,24.122,57224
2561,24.131,58856
2562,24.140,60744
2563,24.149,61416
2564,24.159,65760
2565,24.168,66984
2566,24.177,69920
2567,24.186,70472
2568,24.195,70160
2569,24.204,69744
2570,24.214,73368
2571,24.223,74560
2572,24.232,76360
2573,24.241,78152
2574,24.250,77000
2575,24.260,74656
2576,24.269,74224
2577,24.278,68480
2578,24.287,64384
2579,24.296,63552
2580,24.306,63472
2581,24.315,66352
2582,24.324,65032
2583,24.333,63952
2584,24.342,59104
2585,24.351,57192
2586,24.361,53224
2587,24.370,51512
2588,24.379,48240
2589,24.388,46656
2590,24.397,44280
2591,24.407,43192
2592,24.416,40336
2593,24.425,39624
2594,24.434,37984
2595,24.443,37496
2596,24.453,37896
2597,24.462,36888
2598,24.471,37432
2599,24.480,37144
2600,24.489,39080
2601,24.499,38872
2602,24.508,39336
2603,24.517,38888
2604,24.526,39200
2605,24.535,38608
2606,24.544,37648
2607,24.554,38944
2608,24.563,39584
2609,24.572,43200
2610,24.581,44768
2611,24.590,48920
2612,24.600,51592
2613,24.609,51752
2614,24.618,49848
2615,24.627,48592
2616,24.636,45640
2617,24.646,46536
2618,24.655,47280
2619,24.664,49216
2620,24.673,52832
2621,24.682,54904
2622,24.692,56248
2623,24.701,55952
2624,24.710,56944
2625,24.719,58160
2626,24.728,61536
2627,24.737,63288
2628,24.747,61896
2629,24.756,61928
2630,24.765,59904
2631,24.774,57536
2632,24.783,56536
2633,24.793,55896
2634,24.802,57624
2635,24.811,61280
2636,24.820,68472
2637,24.829,77376
2638,24.839,83384
2639,24.848,86672
2640,24.857,86216
2641,24.866,80288
2642,24.875,75672
2643,24.884,68904
2644,24.894,62840
2645,24.903,59960
2646,24.912,57200
2647,24.921,52728
2648,24.930,50544
2649,24.940,48864
2650,24.949,46192
2651,24.958,45888
2652,24.967,44496
2653,24.976,43992
2654,24.986,46680
2655,24.995,48208
2656,25.004,48848
2657,25.013,49856
2658,25.022,49656
2659,25.032,49928
2660,25.041,47976
2661,25.050,45344
2662,25.059,46376
2663,25.068,45072
2664,25.077,45504
2665,25.087,43744
2666,25.096,44744
2667,25.105,42320
2668,25.114,40664
2669,25.123,41112
2670,25.133,41080
2671,25.142,40688
2672,25.151,41264
2673,25.160,41904
2674,25.169,44024
2675,25.179,41216
2676,25.188,39560
2677,25.197,39760
2678,25.206,38808
2679,25.215,39080
2680,25.225,37888
2681,25.234,37448
2682,25.243,36304
2683,25.252,36472
2684,25.261,35096
2685,25.270,34960
2686,25.280,34016
2687,25.289,34808
2688,25.298,33144
2689,25.307,34232
2690,25.316,35912
2691,25.326,36280
2692,25.335,36760
2693,25.344,38552
2694,25.353,43272
2695,25.362,48096
2696,25.372,52928
2697,25.381,58616
2698,25.390,62256
2699,25.399,63408
2700,25.408,61648
2701,25.417,61400
2702,25.427,59624
2703,25.436,56256
2704,25.445,55352
2705,25.454,55960
2706,25.463,56040
2707,25.473,56320
2708,25.482,56720
2709,25.491,54176
2710,25.500,49664
2711,25.509,47528
2712,25.519,45952
2713,25.528,44584
2714,25.537,46816
2715,25.546,49160
2716,25.555,54720
2717,25.565,60608
2718,25.574,65832
2719,25.583,68920
2720,25.592,68888
2721,25.601,65216
2722,25.610,62088
2723,25.620,59160
2724,25.629,56664
2725,25.638,53864
2726,25.647,52384
2727,25.656,49112
2728,25.666,47592
2729,25.675,45720
2730,25.684,43144
2731,25.693,42864
2732,25.702,41176
2733,25.712,38952
2734,25.721,38728
2735,25.730,38648
2736,25.739,40624
2737,25.748,39064
2738,25.758,40888
2739,25.767,40312
2740,25.776,41600
2741,25.785,41720
2742,25.794,42536
2743,25.803,43128
2744,25.813,41296
2745,25.822,43880
2746,25.831,44776
2747,25.840,47424
2748,25.849,49632
2749,25.859,51072
2750,25.868,50872
2751,25.877,50104
2752,25.886,47648
2753,25.895,44728
2754,25.905,44232
2755,25.914,43080
2756,25.923,41016
2757,25.932,39320
2758,25.941,41360
2759,25.950,39040
2760,25.960,41264
2761,25.969,41336
2762,25.978,43720
2763,25.987,44656
2764,25.996,46256
2765,26.006,45984
2766,26.015,45432
2767,26.024,43192
2768,26.033,44248
2769,26.042,43704
2770,26.052,43328
2771,26.061,45896
2772,26.070,48624
2773,26.079,50216
2774,26.088,50936
2775,26.098,52688
2776,26.107,51704
2777,26.116,50976
2778,26.125,48368
2779,26.134,46520
2780,26.143,46288
2781,26.153,45128
2782,26.162,45744
2783,26.171,45656
2784,26.180,46480
2785,26.189,46480
2786,26.199,47464
2787,26.208,45456
2788,26.217,44480
2789,26.226,41448
2790,26.235,40432
2791,26.245,39832
2792,26.254,40928
2793,26.263,42000
2794,26.272,44864
2795,26.281,48336
2796,26.291,52296
2797,26.300,51728
2798,26.309,53096
2799,26.318,54640
2800,26.327,53072
2801,26.336,50560
2802,26.346,49856
2803,26.355,47016
2804,26.364,46952
2805,26.373,46592
2806,26.382,46032
2807,26.392,47088
2808,26.401,46288
2809,26.410,45568
2810,26.419,44776
2811,26.428,44168
2812,26.438,42520
2813,26.447,39856
2814,26.456,37768
2815,26.465,38328
2816,26.474,38952
2817,26.483,35464
2818,26.493,35360
2819,26.502,36512
2820,26.511,36080
2821,26.520,35008
2822,26.529,35408
2823,26.539,35624
2824,26.548,35976
2825,26.557,34856
2826,26.566,34760
2827,26.575,34776
2828,26.585,34608
2829,26.594,36392
2830,26.603,35184
2831,26.612,34896
2832,26.621,36632
2833,26.631,36640
2834,26.640,37376
2835,26.649,37096
2836,26.658,37896
2837,26.667,36728
2838,26.676,35752
2839,26.686,37112
2840,26.695,38552
2841,26.704,39968
2842,26.713,44832
2843,26.722,48264
2844,26.732,53856
2845,26.741,57608
2846,26.750,59120
2847,26.759,58608
2848,26.768,56024
2849,26.778,55104
2850,26.787,51632
2851,26.796,48984
2852,26.805,47480
2853,26.814,47096
2854,26.824,46016
2855,26.833,47240
2856,26.842,47336
2857,26.851,45520
2858,26.860,44680
2859,26.869,43016
2860,26.879,41384
2861,26.888,39288
2862,26.897,38528
2863,26.906,37800
2864,26.915,37512
2865,26.925,38840
2866,26.934,40192
2867,26.943,40528
2868,26.952,41072
2869,26.961,41632
2870,26.971,41032
2871,26.980,41040
2872,26.989,39616
2873,26.998,40008
2874,27.007,40816
2875,27.016,40928
2876,27.026,41048
2877,27.035,39952
2878,27.044,40672
2879,27.053,39872
2880,27.062,40328
2881,27.072,39168
2882,27.081,38992
2883,27.090,37896
2884,27.099,38912
2885,27.108,39096
2886,27.118,38600
2887,27.127,39640
2888,27.136,39048
2889,27.145,38440
2890,27.154,38344
2891,27.164,36160
2892,27.173,37080
2893,27.182,35808
